1.,1.,37.0,48.0,36.0,16.0,8.0,101.0,109.0,34.0,88.0,75.0,50.0,13.0,28.0,21.0,69.0,81.0,103.0,85.0,91.0,30.0
1.,1.,63.0,37.0,86.0,36.0,101.0,98.0,16.0,8.0,34.0,55.0,22.0,7.0,48.0,108.0,49.0,106.0,90.0,69.0,72.0,78.0
1.,1.,37.0,16.0,36.0,8.0,48.0,7.0,101.0,63.0,88.0,39.0,80.0,109.0,57.0,34.0,38.0,19.0,69.0,50.0,110.0,13.0
1.,1.,57.0,20.0,27.0,64.0,59.0,21.0,34.0,39.0,98.0,33.0,99.0,72.0,7.0,101.0,16.0,92.0,111.0,90.0,36.0,46.0
0.,1.,59.0,57.0,20.0,27.0,7.0,101.0,34.0,63.0,92.0,99.0,82.0,60.0,64.0,86.0,33.0,55.0,111.0,2.0,75.0,72.0
1.,1.,7.0,48.0,101.0,20.0,57.0,111.0,109.0,104.0,85.0,26.0,34.0,50.0,86.0,39.0,55.0,64.0,47.0,60.0,103.0,16.0
1.,1.,59.0,33.0,99.0,64.0,57.0,37.0,86.0,111.0,109.0,34.0,50.0,91.0,48.0,27.0,12.0,101.0,30.0,47.0,36.0,83.0
0.,0.,59.0,57.0,109.0,33.0,27.0,64.0,37.0,111.0,50.0,3.0,34.0,55.0,63.0,92.0,7.0,69.0,83.0,39.0,52.0,85.0
1.,0.,59.0,57.0,27.0,33.0,101.0,64.0,37.0,82.0,21.0,91.0,34.0,73.0,109.0,2.0,50.0,55.0,11.0,62.0,28.0,69.0
1.,1.,63.0,37.0,101.0,36.0,7.0,8.0,27.0,20.0,103.0,16.0,48.0,99.0,21.0,43.0,60.0,86.0,6.0,52.0,85.0,88.0
0.,1.,37.0,63.0,36.0,7.0,48.0,11.0,31.0,109.0,6.0,13.0,98.0,22.0,43.0,81.0,59.0,101.0,72.0,44.0,49.0,111.0
1.,1.,22.0,8.0,27.0,48.0,36.0,98.0,57.0,21.0,2.0,100.0,109.0,101.0,7.0,37.0,63.0,72.0,88.0,34.0,26.0,15.0
1.,1.,48.0,37.0,22.0,63.0,36.0,27.0,20.0,16.0,50.0,86.0,45.0,24.0,34.0,23.0,69.0,88.0,98.0,109.0,8.0,60.0
1.,1.,63.0,37.0,36.0,27.0,20.0,86.0,101.0,48.0,22.0,45.0,31.0,98.0,111.0,109.0,85.0,103.0,21.0,13.0,2.0,39.0
0.,0.,48.0,27.0,85.0,36.0,37.0,21.0,30.0,98.0,20.0,34.0,86.0,22.0,69.0,64.0,70.0,59.0,100.0,13.0,31.0,94.0
1.,1.,27.0,37.0,36.0,63.0,48.0,20.0,101.0,6.0,22.0,80.0,16.0,34.0,69.0,111.0,94.0,85.0,21.0,13.0,45.0,10.0
0.,1.,16.0,36.0,63.0,101.0,7.0,23.0,88.0,57.0,20.0,103.0,72.0,6.0,86.0,85.0,8.0,109.0,2.0,22.0,69.0,27.0
1.,1.,57.0,16.0,37.0,48.0,111.0,36.0,27.0,2.0,13.0,85.0,3.0,59.0,6.0,76.0,71.0,66.0,7.0,24.0,30.0,42.0
0.,1.,6.0,48.0,16.0,57.0,37.0,111.0,85.0,55.0,2.0,15.0,20.0,13.0,27.0,96.0,81.0,7.0,21.0,59.0,42.0,103.0
0.,1.,27.0,64.0,86.0,59.0,36.0,33.0,101.0,63.0,34.0,39.0,46.0,55.0,49.0,109.0,75.0,7.0,52.0,22.0,72.0,3.0
1.,1.,27.0,36.0,60.0,64.0,59.0,86.0,34.0,39.0,20.0,7.0,90.0,109.0,57.0,47.0,111.0,28.0,46.0,23.0,16.0,1.0
1.,0.,57.0,98.0,39.0,101.0,34.0,48.0,7.0,63.0,80.0,72.0,88.0,20.0,111.0,59.0,23.0,8.0,103.0,64.0,42.0,22.0
1.,0.,27.0,99.0,86.0,33.0,59.0,57.0,21.0,72.0,101.0,20.0,34.0,7.0,95.0,6.0,37.0,3.0,60.0,30.0,39.0,10.0
1.,0.,27.0,63.0,33.0,99.0,59.0,86.0,109.0,47.0,34.0,22.0,104.0,39.0,78.0,25.0,31.0,101.0,30.0,72.0,55.0,67.0
0.,0.,57.0,27.0,21.0,33.0,59.0,101.0,111.0,109.0,82.0,34.0,83.0,103.0,39.0,72.0,25.0,85.0,23.0,99.0,107.0,104.0
1.,1.,57.0,59.0,64.0,33.0,27.0,21.0,7.0,23.0,36.0,72.0,34.0,103.0,99.0,20.0,91.0,73.0,30.0,46.0,45.0,106.0
1.,1.,59.0,57.0,27.0,36.0,33.0,22.0,101.0,64.0,21.0,63.0,99.0,34.0,23.0,111.0,11.0,47.0,39.0,91.0,49.0,12.0
0.,1.,20.0,57.0,86.0,27.0,59.0,50.0,21.0,73.0,30.0,2.0,101.0,33.0,7.0,109.0,103.0,91.0,92.0,47.0,76.0,28.0
